"Code","Categorie","Nom fédération","Nom catégorie"
"cf101",1,"Fédération Française d'athlétisme","Fédération unisport olympique"
"cf102",1,"Fédération Française des sociétés d'aviron","Fédération unisport olympique"
"cf103",1,"Fédération Française de badminton","Fédération unisport olympique"
"cf105",1,"Fédération Française de basketball","Fédération unisport olympique"
"cf106",1,"Fédération Française de boxe","Fédération unisport olympique"
"cf107",1,"Fédération Française de canoë-kayak","Fédération unisport olympique"
"cf108",1,"Fédération Française de cyclisme","Fédération unisport olympique"
"cf109",1,"Fédération Française d'équitation","Fédération unisport olympique"
"cf110",1,"Fédération Française d'escrime","Fédération unisport olympique"
"cf111",1,"Fédération Française de football","Fédération unisport olympique"
"cf112",1,"Fédération Française des sports de glace","Fédération unisport olympique"
"cf113",1,"Fédération Française de gymnastique","Fédération unisport olympique"
"cf114",1,"Fédération Française d’haltérophilie - musculation","Fédération unisport olympique"
"cf115",1,"Fédération Française de handball","Fédération unisport olympique"
"cf116",1,"Fédération Française de hockey","Fédération unisport olympique"
"cf117",1,"Fédération Française de judo-jujitsu, kendo et disciplines associées","Fédération unisport olympique"
"cf118",1,"Fédération Française de lutte","Fédération unisport olympique"
"cf119",1,"Fédération Française de natation","Fédération unisport olympique"
"cf120",1,"Fédération française de pentathlon moderne","Fédération unisport olympique"
"cf121",1,"Fédération Française de ski","Fédération unisport olympique"
"cf122",1,"Fédération Française de taekwondo et disciplines associées","Fédération unisport olympique"
"cf123",1,"Fédération Française de tennis","Fédération unisport olympique"
"cf124",1,"Fédération Française de tennis de Table","Fédération unisport olympique"
"cf125",1,"Fédération Française de tir","Fédération unisport olympique"
"cf126",1,"Fédération Française de tir à l'arc","Fédération unisport olympique"
"cf127",1,"Fédération Française de triathlon","Fédération unisport olympique"
"cf128",1,"Fédération Française de voile","Fédération unisport olympique"
"cf129",1,"Fédération Française de volleyball","Fédération unisport olympique"
"cf131",1,"Fédération Française de hockey sur glace","Fédération unisport olympique"
"cf132",1,"Fédération Française de golf","Fédération unisport olympique"
"cf133",1,"Fédération Française de rugby","Fédération unisport olympique"
"cf134",1,"FF de karaté et disciplines associées","Fédération unisport olympique"
"cf135",1,"FF de la montagne et de l'escalade","Fédération unisport olympique"
"cf136",1,"FF de roller et skateboard","Fédération unisport olympique"
"cf137",1,"FF de surf","Fédération unisport olympique"
"cf138",1,"FF de baseball et softball","Fédération unisport olympique"
"cf201",2,"Fédération Française d'aéromodélisme","Fédération unisport non olympique"
"cf202",2,"Fédération Nationale aéronautique","Fédération unisport non olympique"
"cf203",2,"Fédération Française d'aérostation","Fédération unisport non olympique"
"cf204",2,"Fédération Française d'aïkido, aïkibudo et affinitaires","Fédération unisport non olympique"
"cf205",2,"Fédération Française d'aïkido et de budo","Fédération unisport non olympique"
"cf206",2,"Fédération Française du sport automobile","Fédération unisport non olympique"
"cf207",2,"Fédération Française de jeu de balle au tambourin","Fédération unisport non olympique"
"cf208",2,"Fédération Française de ballon au poing","Fédération unisport non olympique"
"cf209",2,"Fédération Française de ball-trap","Fédération unisport non olympique"
"cf210",2,"Fédération Française de billard","Fédération unisport non olympique"
"cf211",2,"Fédération Française du sport boules","Fédération unisport non olympique"
"cf212",2,"Fédération Française de savate, boxe française et disciplines associées","Fédération unisport non olympique"
"cf213",2,"Fédération Française de bowling et de sports de quilles","Fédération unisport non olympique"
"cf214",2,"Fédération Française de char à voile","Fédération unisport non olympique"
"cf215",2,"Fédération Française de la course camarguaise","Fédération unisport non olympique"
"cf216",2,"Fédération Française de la course landaise","Fédération unisport non olympique"
"cf217",2,"Fédération Française de course d'orientation","Fédération unisport non olympique"
"cf218",2,"Fédération Française de cyclotourisme","Fédération unisport non olympique"
"cf219",2,"Fédération Française de danse","Fédération unisport non olympique"
"cf220",2,"Fédération Française des échecs","Fédération unisport non olympique"
"cf221",2,"Fédération Française d'études et sports sous-marins","Fédération unisport non olympique"
"cf222",2,"Fédération Française de football américain","Fédération unisport non olympique"
"cf224",2,"Fédération Française de giraviation","Fédération unisport non olympique"
"cf226",2,"Fédération Française de javelot tir sur cible","Fédération unisport non olympique"
"cf227",2,"Fédération Française de jeu de paume","Fédération unisport non olympique"
"cf228",2,"Fédération Française de joutes et sauvetage nautique","Fédération unisport non olympique"
"cf231",2,"Fédération Française de longue paume","Fédération unisport non olympique"
"cf233",2,"Fédération Française de motocyclisme","Fédération unisport non olympique"
"cf234",2,"Fédération Française motonautique","Fédération unisport non olympique"
"cf237",2,"Fédération Française de parachutisme","Fédération unisport non olympique"
"cf241",2,"Fédération Française de pelote basque","Fédération unisport non olympique"
"cf242",2,"Fédération Française de pétanque et jeu provençal","Fédération unisport non olympique"
"cf243",2,"Fédération Française de planeur ultra-léger motorisé","Fédération unisport non olympique"
"cf244",2,"Fédération Française de Pulka et Traîneau à Chiens","Fédération unisport non olympique"
"cf245",2,"Fédération Française de la randonnée pédestre","Fédération unisport non olympique"
"cf248",2,"Fédération Française de rugby à XIII","Fédération unisport non olympique"
"cf249",2,"Fédération Française de sauvetage et secourisme","Fédération unisport non olympique"
"cf250",2,"Fédération Française de ski nautique","Fédération unisport non olympique"
"cf251",2,"Fédération Française de spéléologie","Fédération unisport non olympique"
"cf252",2,"Fédération Française de squash","Fédération unisport non olympique"
"cf254",2,"Fédérationdes arts énergétiques et martiaux chinois","Fédération unisport non olympique"
"cf255",2,"Fédération Française des sports de traîneau, de ski pulka et de cross canins ","Fédération unisport non olympique"
"cf256",2,"Fédération Française de twirling bâton","Fédération unisport non olympique"
"cf257",2,"Fédération Française de vol à voile","Fédération unisport non olympique"
"cf258",2,"Fédération Française de vol libre","Fédération unisport non olympique"
"cf260",2,"Fédération française de polo","Fédération unisport non olympique"
"cf261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"cf263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"cf264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"cf265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"cf266",2,"Fédération de force","Fédération unisport non olympique"
"cf267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"cf401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"cf402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"cf403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"cf404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"cf405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"cf406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"cf407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"cf408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"cf409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"cf410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
"cf411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"cf413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
